lastlogin,EMPID,OpCoemailend,firstName,lastName,email,level,managerID,emailRelationship,BusinessArea
01/01/2019,81,acme.com,Lark,Wise,lark.wise@acme.com,5,22,3,IT
01/01/2019,82,acme.co.uk,Claire,Cribbin,claire.cribbin@acme.co.uk,4,23,1,IT
01/01/2019,83,acmehealth.co.uk,Lanae,Rachuig,lanae.rachuig@acmehealth.co.uk,7,51,2,IT
01/01/2019,84,acme.com,Elden,Durrance,elden.durrance@acme.com,5,22,3,Procurement
01/01/2019,85,acmehealth.co.uk,Halie,Brockie,halie.brockie@acmehealth.co.uk,7,53,2,Procurement
01/01/2019,86,acmehealth.co.uk,Hernando,Paxeford,hernando.paxeford@acmehealth.co.uk,7,53,2,Procurement
01/01/2019,87,acme.com,Norean,Laidlow,norean.laidlow@acme.com,5,28,3,Legal
01/01/2019,88,acmehealth.co.uk,Rorke,Laxe,rorke.laxe@acmehealth.co.uk,7,53,2,Legal
01/01/2019,89,acmehealth.co.uk,Gail,Grimbaldeston,gail.grimbaldeston@acmehealth.co.uk,7,53,2,Legal
01/01/2019,90,acmehealth.co.uk,Libbey,Blakiston,libbey.blakiston@acmehealth.co.uk,7,53,2,Legal
01/01/2019,91,acme.co.uk,Ardine,Cammish,ardine.cammish@acme.co.uk,4,25,1,Legal
01/01/2019,92,acmehealth.co.uk,Edgardo,Dakhno,edgardo.dakhno@acmehealth.co.uk,7,53,2,Risk
01/01/2019,93,acme.com,Donal,Keslake,donal.keslake@acme.com,5,28,3,Risk
01/01/2019,94,acmehealth.co.uk,Christin,Gunderson,christin.gunderson@acmehealth.co.uk,7,53,2,Risk
01/01/2019,95,acmehealth.co.uk,Otho,Bunclark,otho.bunclark@acmehealth.co.uk,7,53,2,Risk
01/01/2019,96,acme.co.uk,Dalis,Eden,dalis.eden@acme.co.uk,4,25,1,Risk
01/01/2019,97,acme.co.uk,Linet,Tellenbach,linet.tellenbach@acme.co.uk,4,25,1,Underwriting
01/01/2019,98,acme.com,Winslow,Ugoni,winslow.ugoni@acme.com,5,28,3,Underwriting
01/01/2019,99,acme.co.uk,Franni,Pipping,franni.pipping@acme.co.uk,4,25,1,Underwriting
01/01/2019,100,acme.co.uk,Renee,Jolliman,renee.jolliman@acme.co.uk,4,25,1,Underwriting
